;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0011149468516877567;599;401.67;0.8888888888888888
1;1;2;0.001103341334238011;599;332.14;0.8888888888888888
2;1;3;0.001160130076864203;599;505.37;0.8888888888888888
3;2;1;0.0016886741033448683;599;445.23;1.0
4;2;2;0.0016287200505819596;599;316.4;1.0
5;2;3;0.0015915961221606304;599;317.42;1.0
6;3;1;0.0014477118199154734;599;317.32;1.0
7;3;2;0.0014469771822484573;599;318.02;1.0
8;3;3;0.00142487400576263;599;318.0;1.0
9;4;1;0.0014515529035578473;599;316.45;1.0
10;4;2;0.0013438925169057309;599;318.16;1.0
11;4;3;0.0014376587828674387;599;314.65;1.0
12;5;1;0.0015394132698488335;599;315.83;1.0
13;5;2;0.0014059500507996568;599;314.57;1.0
14;5;3;0.0015078783622413103;599;317.04;1.0
15;6;1;0.0014372632276062702;599;329.51;1.0
16;6;2;0.001395241025617018;599;329.14;1.0
17;6;3;0.0014413936189114145;599;322.01;1.0
18;7;1;0.0011759046108460167;599;321.86;0.9444444444444444
19;7;2;0.0010526020242242046;599;330.82;0.9444444444444444
20;7;3;0.0011197315396559416;599;333.52;0.9444444444444444
21;8;1;0.001641756606285465;599;340.68;1.0
22;8;2;0.0016710942984218273;599;320.91;1.0
23;8;3;0.0017381062339989865;599;318.43;1.0
24;9;1;0.001166979402657164;599;318.7;0.8888888888888888
25;9;2;0.001203301704243015;599;325.65;0.8888888888888888
26;9;3;0.0012283943061681592;599;319.49;0.8333333333333334
27;10;1;0.0016458221522372475;599;328.54;1.0
28;10;2;0.0014644081666248944;599;319.26;1.0
29;10;3;0.0014518579024641568;599;327.64;1.0
